"uri","sha256"
"https://github.com/dallar-project/ccminer/files/1596594/ccminer-x64.zip","B1553F909753FB859BCA0CE0BFB5200A34E678396F884419E914131940F78C30"
"https://github.com/djm34/ccminer-msvc2015/releases/download/v0.3.0/ccminer.rar","B19FA7FCFA6F81620FD82068BA5F0DA7DFAC4D9FA885D09D9430CAB4FBF509F1"
"https://github.com/yuzi-co/miners/releases/download/2019.02/ccminerKlausT-8.21.3.7z","5A1752003013A2662BAAE462BA2F8DAFA51CA65BDDD196D446FC34C2468611A0"
"https://github.com/yuzi-co/miners/releases/download/2018.6/CCMiner.2.2.6R.7z","D434799B374222D03D7867A20918BA933B7DEFCA8741BFCD125010D929BE04B9"
"https://github.com/tpruvot/ccminer/releases/download/2.3.1-tpruvot/ccminer-2.3.1-cuda10.7z","759500084E7C82A50150FC1E6C6B1222772A437463BA034F030E09249A402540"
"https://github.com/yuzi-co/miners/releases/download/2020.06/ccminer_GPU_3_8.7z","ADC990E6B3E9D73F044404038A2CA485C6F23EBE8C84AE905156E362EC350769"
"https://github.com/Minerx117/ccmineryescryptr8g/releases/download/v4/ccmineryescryptrv4.zip","88DDDCD400D7467D7A97E1D85DB46BEB8581B4701D47372ABAFCA98039C1321F"
"https://github.com/yuzi-co/miners/releases/download/2019.09/CCMinerYescrypt9A1.7z","3A8982787B57D86B80869A4A38ED1C7E9ACBB70614950A6CD93C984DE28BC8D3"
"https://github.com/technobyl/CryptoDredge/releases/download/v0.23.0/CryptoDredge_0.23.0_cuda_10.1_windows.zip","5C2D4B6B5D481E40E74A4A67F9961EA3F60D42D2BAD09CB6F376E22ED174F052"
"https://github.com/technobyl/CryptoDredge/releases/download/v0.23.0/CryptoDredge_0.23.0_cuda_10.0_windows.zip","98E8221C1C781B38364CE9ED1EABC01FDC677C157B27E1E6823A0FEC40373FFA"
"https://github.com/technobyl/CryptoDredge/releases/download/v0.23.0/CryptoDredge_0.23.0_cuda_9.2_windows.zip","6724E6F96AFD04157583CD9082475A3537259154E5073B79AEE885D4EA65709F"
"https://github.com/technobyl/CryptoDredge/releases/download/v0.23.0/CryptoDredge_0.23.0_cuda_9.1_windows.zip","1C273F32F6C22A86A84F61CD215C4B6DBD6422557F341456FAFE12FFD8779EBB"
"https://github.com/Lolliedieb/lolMiner-releases/releases/download/0.98/lolMiner_v098_Win64.zip","638ADFF25424C5EE56B2B9B94D7C59203CB66E4C34BC6A24B7EBFBA76836751D"
"https://github.com/yuzi-co/miners/releases/download/2020.06/miniZ_v1.5u2_cuda10_win-x64.7z","A4CDD2AE041C24A9ACB82C204614B4648E6480B7DBF747A5FE4DE34BFBADFD1E"
"https://github.com/BitcoinInterestOfficial/BitcoinInterest/releases/download/2.1/progpowminer-cuda-windows-0.16_final.zip","10DCBB1C62DCDA533CBFBA120E68CAE5628AC272267F4522609E3CED1C661AED"
"https://github.com/trexminer/T-Rex/releases/download/0.15.7/t-rex-0.15.7-win-cuda10.0.zip","8105B2603EF46301C553F3EB522946D4AEADD5E079DD6447AC805D9A36201742"
"https://github.com/trexminer/T-Rex/releases/download/0.15.7/t-rex-0.15.7-win-cuda9.2.zip","EE0B002172C17B6B1161158563CA09FEC37061A4D0B03F55FFE11DC72E0AE68F"
"https://github.com/trexminer/T-Rex/releases/download/0.15.7/t-rex-0.15.7-win-cuda9.1.zip","03C47E3FFBDE4A6DAD3130E3D410213F22312AC8FA68A5F0E19140DC61EEF3FB"
"https://tradeproject.de/download/Miner/TT-Miner-3.2.3-beta1.zip","2B4D71B38C9DDAB97748EC43C7231D61DC61DB0976A27193310C321C22EAB812"
"https://tradeproject.de/download/Miner/TT-Miner-5.0.3.zip","737DA43F4FBC3D5F587B14458C211001221A270190913D973B91F27A154C2E1B"
"https://github.com/xmrig/xmrig/releases/download/v5.11.3/xmrig-5.11.3-msvc-cuda10_2-win64.7z","829AA923D9EE7831E3FA08B09D71149FE3A85DC83D01EF456D8362E2D4D6BA0C"
"https://github.com/xmrig/xmrig/releases/download/v6.2.0-beta/xmrig-6.2.0-beta-msvc-cuda10_2-win64.7z","91FFB54CFCB0B21AD623ACD66BE4A37C31717CFF3C1AA8340CC4A6CF047E0DF0"
"https://github.com/zealot-rvn/z-enemy/releases/download/kawpow262/z-enemy-2.6.2-win-cuda10.1.zip","C10B7CD1B3F3C8AD858600093B53AA2266363671A4F301E0106028A0C84054D7"
"https://github.com/zealot-rvn/z-enemy/releases/download/kawpow262/z-enemy-2.6.2-win-cuda10.0.zip","2999D489AEAA8CC29E387273573507458F209B4008610DB6375F07D31F3FE5F0"
"https://github.com/zealot-rvn/z-enemy/releases/download/kawpow262/z-enemy-2.6.2-win-cuda9.2.zip","08D90E28E76289C41DA2B4C357F3E96999AB527762D47E349A4E39998AEC76B0"
"https://github.com/zealot-rvn/z-enemy/releases/download/kawpow262/z-enemy-2.6.2-win-cuda9.1.zip","FB8FA6D03A819EFEC9C0E038C08F3EACEAC025FDD21E00C996B65E75F69A5585"
"https://www.bminercontent.com/releases/bminer-lite-v16.2.0-d0b21b5-amd64.zip","1B8920E7818BBC31CB398AD05082E93DC47B8645A542B40DB21EFC3D31BB8746"
"https://github.com/glph3k/cast_xmr/releases/download/v180/cast_xmr-vega-win64_180.zip","D20661F8229052BEF6BCC277C621E6D5EB66852CBF051F0AF8639DC3E9AB3D6F"
"https://github.com/ethereum-mining/ethminer/releases/download/v0.18.0/ethminer-0.18.0-cuda10.0-windows-amd64.zip","9331AE5AED54EBBAE83AB42B3DEB7C01D3B2A9C397E33EADE268C3901BCAD00B"
"https://github.com/mcarloai/minerbabe-kbminer/releases/download/1.3.8/kbminer-vds-win-1.3.8.zip","16D40A5711C3B9E455D9E7514A8C691756D946DCF77A634FECBF7913EA829DCD"
"https://github.com/nanopool/nanominer/releases/download/v1.9.5/nanominer-windows-1.9.5.zip","1738C6D103239985CB9301AF6FF5E88E52DF45830658805FC4374BF3D44A9706"
"https://github.com/pompobit/sgminer/releases/download/5.6.2/sgminer_evo_windows.zip","5D3CF284608D91427564BCE72A7040F37992FDA19A4A66B09B8DEDF2155CB9F0"
"https://github.com/Partiolainen/sgminer-gm/releases/download/5.5.5-part/sgminer-5.5.5-part-hsr.win.x64.zip","25B686E9DCCFC088A31BFEA80CF536553DFC8620AF2A17A0200B51253D728316"
"https://github.com/yuzi-co/miners/releases/download/2019.02/sgminerMTP-0.1.1.zip","E975EC5FEA15889C7E7CE49AB9496454EDD8A4E72AF26974F7BC0B0924E0B8AF"
"https://github.com/xmrig/xmrig/releases/download/v6.2.0-beta/xmrig-6.2.0-beta-gcc-win64.zip","32AF0158B43089DD1F79DDF36AE94C6A4ECF56F2817E10F80DF01F4A9A8A7632"
"https://github.com/Belgarion/cpuminer-balloon/releases/download/windows64-2/cpuminer-vs2015.7z","BE47587E783B166C4E3DD46BD98943D90C24BBD67B04C9DFDA45D66A15B5B777"
"https://github.com/yuzi-co/miners/releases/download/2019.05/cpuminer-multi-1.3.6.3.7z","F0C0D15AE7F7D011AC17553D97F4CA64AC8652334B1841E67B5D6DA4BFA15670"
"https://github.com/bellflower2015/cpuminer-opt/releases/download/v3.8.11-bf/cpuminer-opt-v3.8.11-bf-win64.zip","D24885316345B959A70F021BA058003EB0C5B1EA2A162D0015CD8DA2D5CC1801"
"https://github.com/jceminer/cn_cpu_miner/raw/master/jce_cn_cpu_miner.windows.033q.zip","CFD59A13FF66E28D0B8166CD1F5590F071EB6D20EE1DCBCAF6DA542C51DD74A3"
"https://github.com/yuzi-co/miners/releases/download/2019.05/CCMiner.DYN.3.7z","07AA3C94DF42BF323CC63DBC237FED11A778CE8B962B89C3023FE6791E7FEF71"
"https://github.com/yuzi-co/miners/releases/download/2019.07/CCMinerMTP-v1.1.23.7z","15F4EE87D73100EFB60388E3FF0AACE1134BB0E9427D613DC791F13DA1F72441"
